year,sex,age,state,value
2017,male,30-34,M,456.0
2017,male,30-34,S,1484.0
2017,male,30-34,W,7.0
2017,male,30-34,V,195.0
2017,female,30-34,M,362.0
2017,female,30-34,S,608.0
2017,female,30-34,W,7.0
2017,female,30-34,V,121.0
2017,male,35-39,M,883.0
2017,male,35-39,S,1778.0
2017,male,35-39,W,14.0
2017,male,35-39,V,391.0
2017,female,35-39,M,678.0
2017,female,35-39,S,712.0
2017,female,35-39,W,14.0
2017,female,35-39,V,266.0
2017,male,40-44,M,1779.0
2017,male,40-44,S,2820.0
2017,male,40-44,W,26.0
2017,male,40-44,V,866.0
2017,female,40-44,M,1557.0
2017,female,40-44,S,1154.0
2017,female,40-44,W,27.0
2017,female,40-44,V,576.0
2017,male,45-49,M,3093.0
2017,male,45-49,S,4066.0
2017,male,45-49,W,52.0
2017,male,45-49,V,1718.0
2017,female,45-49,M,2581.0
2017,female,45-49,S,1465.0
2017,female,45-49,W,99.0
2017,female,45-49,V,924.0
2017,male,50-54,M,4813.0
2017,male,50-54,S,4774.0
2017,male,50-54,W,127.0
2017,male,50-54,V,2596.0
2017,female,50-54,M,3731.0
2017,female,50-54,S,1488.0
2017,female,50-54,W,217.0
2017,female,50-54,V,1268.0
2017,male,55-59,M,8296.0
2017,male,55-59,S,6033.0
2017,male,55-59,W,315.0
2017,male,55-59,V,3832.0
2017,female,55-59,M,5464.0
2017,female,55-59,S,1474.0
2017,female,55-59,W,498.0
2017,female,55-59,V,1578.0
2017,male,60-64,M,15833.0
2017,male,60-64,S,8398.0
2017,male,60-64,W,960.0
2017,male,60-64,V,5861.0
2017,female,60-64,M,8543.0
2017,female,60-64,S,1764.0
2017,female,60-64,W,1330.0
2017,female,60-64,V,2148.0
2017,male,65-69,M,37480.0
2017,male,65-69,S,12824.0
2017,male,65-69,W,3100.0
2017,male,65-69,V,10711.0
2017,female,65-69,M,16608.0
2017,female,65-69,S,2870.0
2017,female,65-69,W,4392.0
2017,female,65-69,V,4298.0
2017,male,70-74,M,49397.0
2017,male,70-74,S,8948.0
2017,male,70-74,W,5863.0
2017,male,70-74,V,9974.0
2017,female,70-74,M,18678.0
2017,female,70-74,S,2743.0
2017,female,70-74,W,8995.0
2017,female,70-74,V,4429.0
2017,male,75-79,M,71182.0
2017,male,75-79,S,7077.0
2017,male,75-79,W,12012.0
2017,male,75-79,V,9238.0
2017,female,75-79,M,24678.0
2017,female,75-79,S,3687.0
2017,female,75-79,W,22462.0
2017,female,75-79,V,5369.0
2017,male,80+,M,233314.0
2017,male,80+,S,8048.0
2017,male,80+,W,111532.0
2017,male,80+,V,11936.0
2017,female,80+,M,62530.0
2017,female,80+,S,23924.0
2017,female,80+,W,377059.0
2017,female,80+,V,22800.0
2016,male,15-19,M,3.0
2016,male,15-19,S,811.0
2016,male,15-19,W,0.0
